rank,artist,title,source_type,source
1,Neil Diamond,Sweet Caroline,local_or_authorized,
2,Teddy Swims,Lose Control,local_or_authorized,
3,Chris Stapleton,Tennessee Whiskey,local_or_authorized,
4,Radiohead,Creep,local_or_authorized,
5,a-ha,Take On Me,local_or_authorized,
6,Chappell Roan,Pink Pony Club,local_or_authorized,
7,Carrie Underwood,Before He Cheats,local_or_authorized,
8,HUNTR/X,Golden,local_or_authorized,
9,John Denver,"Take Me Home, Country Roads",local_or_authorized,
10,Backstreet Boys,I Want It That Way,local_or_authorized,
11,Gloria Gaynor,I Will Survive,local_or_authorized,
12,Miley Cyrus,Party in the U.S.A.,local_or_authorized,
13,Linkin Park,In the End,local_or_authorized,
14,Cardi B & Megan Thee Stallion,WAP,local_or_authorized,
15,Brooks & Dunn,Neon Moon,local_or_authorized,
16,ABBA,Dancing Queen,local_or_authorized,
17,Justin Bieber,Baby,local_or_authorized,
18,Sublime,Santeria,local_or_authorized,
19,Kid Rock & Sheryl Crow,Picture,local_or_authorized,
20,4 Non Blondes,What's Up?,local_or_authorized,
21,Mark Ronson & Amy Winehouse,Valerie,local_or_authorized,
22,Garth Brooks,Friends in Low Places,local_or_authorized,
23,Keyshia Cole,Love,local_or_authorized,
24,The B-52's,Love Shack,local_or_authorized,
25,Fleetwood Mac,Dreams,local_or_authorized,
26,Elvis Presley,Can't Help Falling in Love,local_or_authorized,
27,The Cranberries,Zombie,local_or_authorized,
28,Wham!,Last Christmas,local_or_authorized,
29,Billy Joel,Piano Man,local_or_authorized,
30,Alanis Morissette,You Oughta Know,local_or_authorized,
31,The Greatest Showman Cast,A Million Dreams,local_or_authorized,
32,The Killers,Mr. Brightside,local_or_authorized,
33,Idina Menzel,Let It Go,local_or_authorized,
34,Frank Sinatra,Fly Me to the Moon,local_or_authorized,
35,Wheatus,Teenage Dirtbag,local_or_authorized,
36,Patsy Cline,Crazy,local_or_authorized,
37,Panic! At The Disco,I Write Sins Not Tragedies,local_or_authorized,
38,Evanescence ft. Paul McCoy,Bring Me to Life,local_or_authorized,
39,TLC,No Scrubs,local_or_authorized,
40,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),local_or_authorized,
41,Natasha Bedingfield,Unwritten,local_or_authorized,
42,Frank Sinatra,My Way,local_or_authorized,
43,Otis Redding,(Sittin' on) The Dock of the Bay,local_or_authorized,
44,Adele,Rolling in the Deep,local_or_authorized,
45,Oasis,Wonderwall,local_or_authorized,
46,Johnny Cash,Ring of Fire,local_or_authorized,
47,Zach Bryan,Something in the Orange,local_or_authorized,
48,Treaty Oak Revival,Choosin' Texas,local_or_authorized,
49,Darius Rucker,Wagon Wheel,local_or_authorized,
50,Sir Mix-a-Lot,Baby Got Back,local_or_authorized,
51,Dolly Parton,Jolene,local_or_authorized,
52,Bon Jovi,Livin' on a Prayer,local_or_authorized,
53,Paramore,Misery Business,local_or_authorized,
54,Josh Turner,Your Man,local_or_authorized,
55,George Michael,Careless Whisper,local_or_authorized,
56,Fleetwood Mac,Landslide,local_or_authorized,
57,Goo Goo Dolls,Iris,local_or_authorized,
58,Olivia Dean,Man I Need,local_or_authorized,
59,Deana Carter,Strawberry Wine,local_or_authorized,
60,Britney Spears,...Baby One More Time,local_or_authorized,
61,Alicia Keys,If I Ain't Got You,local_or_authorized,
62,Rihanna ft. Mikky Ekko,Stay,local_or_authorized,
63,3 Doors Down,Kryptonite,local_or_authorized,
64,Queen,Bohemian Rhapsody,local_or_authorized,
65,John Legend,All of Me,local_or_authorized,
66,Lady Gaga & Bradley Cooper,Shallow,local_or_authorized,
67,Journey,Don't Stop Believin',local_or_authorized,
68,Eartha Kitt,Santa Baby,local_or_authorized,
69,Miranda Lambert,Mama's Broken Heart,local_or_authorized,
70,Red Hot Chili Peppers,Under the Bridge,local_or_authorized,
71,Kelly Clarkson,Since U Been Gone,local_or_authorized,
72,Bing Crosby,White Christmas,local_or_authorized,
73,The Champs,Tequila,local_or_authorized,
74,Lady A,Need You Now,local_or_authorized,
75,Creedence Clearwater Revival,Have You Ever Seen the Rain?,local_or_authorized,
76,Laufey,From The Start,local_or_authorized,
77,Lea Salonga & Brad Kane,A Whole New World,local_or_authorized,
78,Jeff Buckley,Hallelujah,local_or_authorized,
79,The Chicks,Goodbye Earl,local_or_authorized,
80,Frank Sinatra,"New York, New York",local_or_authorized,
81,Amy Winehouse,Back to Black,local_or_authorized,
82,Bruno Mars,When I Was Your Man,local_or_authorized,
83,Michael Bublé,Feeling Good,local_or_authorized,
84,Afroman,Crazy Rap,local_or_authorized,
85,Marvin Gaye & Tammi Terrell,Ain't No Mountain High Enough,local_or_authorized,
86,Lady Gaga,Bad Romance,local_or_authorized,
87,Eagles,Take It Easy,local_or_authorized,
88,Adele,When We Were Young,local_or_authorized,
89,Etta James,At Last,local_or_authorized,
90,Lit,My Own Worst Enemy,local_or_authorized,
91,blink-182,All the Small Things,local_or_authorized,
92,Alanis Morissette,Ironic,local_or_authorized,
93,Selena,Como La Flor,local_or_authorized,
94,Hinder,Lips of an Angel,local_or_authorized,
95,Miley Cyrus,The Climb,local_or_authorized,
96,Mario,Let Me Love You,local_or_authorized,
97,Paramore,Ain't It Fun,local_or_authorized,
98,Semisonic,Closing Time,local_or_authorized,
99,Vanessa Carlton,A Thousand Miles,local_or_authorized,
100,Paramore,Still Into You,local_or_authorized,
